site_code,port_id,status,flag,datetime_stamp,datetime_polling,wilayah
JB1A,16A,630,1,2023-08-03 22:27:04,2023-08-03 22:27:04,Jambi
JB1A,16A,63,0,2023-08-03 04:27:04,2023-08-03 04:27:04,Jambi
